Name,type,price,vintage,alcohol,bottle size,country,region,grapespecies,producer,Text wine,aromas,bottles,cases,fruit,notes,palate,red,single,six,wine
Finca La Colonia Sauvignon Blanc,2.0,9.49,2021.0,13.5,75.0,8.0,6.0,3.0,Bodega Norton,lockwood vineyard chardonnay monterey pale lemon yellow colour lockwood vineyard chardonnay bright citrus green apple aromas flavours along touch crisp spice bright fruit clean acidity minerality leads refreshing long finish perfect accompaniament many seafood chicken dishessold single bottles,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
Dona Paula Altitude 1350 Mendoza,1.0,19.49,2019.0,14.0,75.0,8.0,6.0,9.0,Dona Paula,gouffier cuvee madeleine bourgogne blanc gouffier cuvee madeleine bourgogne blanc classic elegant white burgundy revealing ripe exotic fruit aromas complemented delicate hints oak spice fresh style comes together lovely fruit concentration give good balance smooth round texture long persistent finishsold single bottles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Andeluna 1300 Chardonnay,2.0,11.69,2020.0,13.5,75.0,8.0,6.0,4.0,Andeluna Cellars,bhilar plots rioja blanco fantastic blend viura garnacha blanca wine yellow gold colour high viscosity white fruits nose hint guava palate wine super fresh loads acidity incredible length due density winesold cases six bottles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pulenta La Flor Malbec,1.0,12.29,2020.0,14.5,75.0,8.0,6.0,5.0,Pulenta Estate,domaine ferrand lise marie pouillyfuisse domaine ferrand lise marie pouillyfuisse elegant pouilly fuissé showing aromas fresh mint peach citrus carry fresh mineral palate rich complex well balanced wine remarkable vivacity finishsold single bottles,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Andeluna 1300 Torrontes,2.0,11.69,2020.0,12.0,75.0,8.0,6.0,9.0,Andeluna Cellars,barros special reserve port nv vibrant ruby colour violet nuances presents complex sweet bouquet red fruits mouth intense large well structured long aromatic persistencesold single bottles,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Estampado Red Blend,1.0,6.39,2021.0,13.0,75.0,8.0,6.0,9.0,Boutinot Argentina,domaine berthelemot pulignymontrachet fabulous puligny white flowers ripe orchard fruit gentle lemon citrus nose beautifully linear palate brilliant mineral tension ripe fruit character builds wine warms mouth seasoned cleverly balanced hint oak seductive longsold cases six bottles,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Verne Malbec Nieto Senetiner,1.0,8.99,2020.0,14.5,75.0,8.0,6.0,5.0,Nieto Senetiner,silver medal 2019 decanter world wine awards 92 points,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cadus Vista Flores Appellation Chardonnay,2.0,12.49,2018.0,14.0,75.0,8.0,6.0,4.0,Cadus,cave de turckheim grand cru brand riesling elegantly complex intensely satisfying drop classy riesling alsace plenty ‘tension’ complexity finesse grand cru brand much cave’s grand cru grapes coming granitic slopes behind winery,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Walter Bressia Sylvestra Malbec,1.0,9.99,2019.0,14.5,75.0,8.0,6.0,5.0,Bressia,petit chablis bernard michaut second label domaine de la motte deliciously approachable chardonnay fruit proper ‘tension’ backbone expect good chablis,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Bodega Bressia Monteagrelo Syrah,1.0,13.49,2018.0,14.5,75.0,8.0,10.0,9.0,Bressia,bricco rosso dogliani nose medley ripe plum blackberry fig sweet spices hint christmas cake palate plenty fresh juicy plum red berry fruit hints dark chocolate finish concentrated style dolcetto attractively rustic charactersold cases six bottles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
