Name,type,price,vintage,alcohol,bottle size,country,region,grapespecies,producer,Text wine
Molinillo Malbec,1.0,8.09,2021.0,14.0,75.0,8,6,5,Boutinot Argentina,"Alpha Box & Dice The Mistress Red South Australia - Black olives tapenade, dried herbs and rustic strawberries on the nose followed by dusty tannins, soft acidity, prunes, cherries and darker fruits on the palate!"
Paula Sauvignon Blanc Vina Dona Paula,2.0,9.25,2020.0,11.5,75.0,8,6,3,Dona Paula,"Prados Fusion Garnacha Syrah Campo de Borja - Dark ruby in colour, Prados Fusion offers a rich, fruity nose with Mediterranean red fruits enhanced by hints of sweet spice. The palate seduces with layers of juicy red fruits, smooth and silky tannins and a long finish.Sold in single bottles"
Bodega La Flor Cabernet Sauvignon Pulenta,1.0,12.29,2020.0,14.0,75.0,8,6,9,Pulenta Estate,"Tenuta Aquilaia Ciliegiolo - Appealing wild cherry aromas, lightly floral with a hint of black pepper. The palate has juicy sour cherry and raspberry fruit with supple tannins, lightly savoury on the finish."
Porteno Sauvignon Blanc Bodega Norton,2.0,10.39,2021.0,13.5,75.0,8,6,9,Bodega Norton,"Raymond R Collection Chardonnay - Bright aromas of citrus, green apple and tropical fruit are followd by notes of vanilla and honeysuckle. Crisp, with a beautiful minerality, tangy citrus notes and a touch of vanilla on the exquisitely balanced palate, this wine is smooth to the finish.Sold in single bottles"
Pulenta Estate XI Gran Cabernet Franc,1.0,29.49,2018.0,14.5,75.0,8,6,9,Pulenta Estate,"Tenuta Aquilaia Maremma Toscana - A great value, vibrant young red from Tuscany's new frontier."
The Apple Doesn'T Fall Far From The Tree Torrontes,2.0,12.99,2020.0,14.0,75.0,8,6,9,Matias Riccitelli,"The Paddock Shiraz - Rich and juicy, this punchy Shiraz from Australia goes down like a treatSold in cases of 12 bottles"
Pulenta Estate I Malbec,1.0,17.89,2019.0,14.5,75.0,8,6,5,Pulenta Estate,"Ridge Vineyards Lytton Springs Zinfandel - Blackberry, pepper and licorice notes on nose. Full-bodied with ripe plum, well integrated tannins and long, lingering finish."
Catena La Consulta Appellation Malbec,1.0,14.59,2019.0,13.5,75.0,8,6,5,Catena,"Cave de Tain Cornas Les Arenes Sauvages - This is a serious bottle of wine with plenty of structure and shape but also with plenty of plush fruit to justify it. Deep dark red with an intense nose of raspberries, spice and a hint of graphite. The palate has more black fruits (blackberry and cherry), pepper and toast. Approachable but evident tannins and for drinking now but with the potential to age very well."
VistaFlor Sauvignon Blanc Chenin Blanc,2.0,9.49,2020.0,12.5,75.0,8,6,9,Bodega Norton,"Lake Chalice The Raptor Chardonnay Marlborough - A full bodied Chardonnay with complex aromas of flint and ripe stone fruits, complemented by a subtle hint of mulled spice. The creamy palate is threaded with a balancing acidity and reveals layers of soft vanilla, tropical passionfruit and mango with delicious flinty overtones on the finish.Sold in single bottles"
Argento Single Vineyard Altamira Organic Malbec,1.0,13.99,2019.0,13.5,75.0,8,6,5,Argento Wine Company,"Domaine La Provenquiere Pur Cinsault sans sulfites ajoutes -  Domaine La Provenquiere Pur Cinsault sans sulfites ajoutes is an appealing, fruity wine bursting with aromas of vibrant red-berried fruit. Juicy notes of wild strawberry and redcurrant are complemented by sweet spice, silky tannins and a soft finish."
Finca La Colonia Torrontes,2.0,9.09,2021.0,13.0,75.0,8,6,9,Bodega Norton,"Indio Montepulciano d'Abruzzo Bove - Full bodied, smooth and elegant with notes of spice, vanilla, wild berries and prunes on the nose.Sold in single bottles"
Dona Paula Altitude 969 Mendoza,1.0,19.49,2019.0,13.5,75.0,8,6,9,Dona Paula,"Domaine de l'Aigle Gerard Bertrand Limoux Chardonnay - Domaine de l'Aigle Gerard Bertrand Limoux Chardonnay is a floral and aromatic Chardonnay with white peach flavours complemented by nutty, toasty tones and a lovely creamy texture. Fresh and light with mineral overtones through to an elegant finish.Sold in single bottles"
Finca La Colonia Sauvignon Blanc,2.0,9.49,2021.0,13.5,75.0,8,6,3,Bodega Norton,"Lockwood Vineyard Chardonnay Monterey - Pale lemon yellow in colour, this Lockwood Vineyard Chardonnay has bright citrus and green apple aromas and flavours, along with a touch of crisp spice. The bright fruit with its clean acidity and minerality, leads to a refreshing, long finish. The perfect accompaniament to many seafood and chicken dishes.Sold in single bottles"
Dona Paula Altitude 1350 Mendoza,1.0,19.49,2019.0,14.0,75.0,8,6,9,Dona Paula,"Gouffier Cuvee Madeleine Bourgogne Blanc - Gouffier Cuvee Madeleine Bourgogne Blanc  is a classic and elegant white Burgundy, revealing ripe exotic fruit aromas complemented by delicate hints of oak spice. Its fresh style comes together with lovely fruit concentration to give good balance, with a smooth, round texture through to a long, persistent finish.Sold in single bottles"
Andeluna 1300 Chardonnay,2.0,11.69,2020.0,13.5,75.0,8,6,4,Andeluna Cellars,"Bhilar Plots Rioja Blanco - A fantastic blend of Viura and Garnacha Blanca, the wine is yellow gold in colour, with high viscosity and white fruits on the nose with hint of guava. On the palate the wine is super fresh with loads of acidity and incredible length due to the density of the wine.Sold in cases of six bottles"
Pulenta La Flor Malbec,1.0,12.29,2020.0,14.5,75.0,8,6,5,Pulenta Estate,"Domaine Ferrand Lise Marie Pouilly-Fuisse - Domaine Ferrand Lise Marie Pouilly-Fuisse is an elegant Pouilly Fuissé showing aromas of fresh mint, peach and citrus that carry through to a fresh and mineral palate. A rich, complex and well balanced wine with remarkable vivacity on the finish.Sold in single bottles"
Andeluna 1300 Torrontes,2.0,11.69,2020.0,12.0,75.0,8,6,9,Andeluna Cellars,"Barros Special Reserve Port NV - Vibrant ruby colour with violet nuances. Presents a complex and sweet bouquet of red fruits. In the mouth it is intense, large, well structured and with a long aromatic persistence.Sold in single bottles"
Estampado Red Blend,1.0,6.39,2021.0,13.0,75.0,8,6,9,Boutinot Argentina,"Domaine Berthelemot Puligny-Montrachet - A fabulous Puligny. White flowers, ripe orchard fruit and gentle lemon citrus on the nose, and a beautifully linear palate with a brilliant mineral tension. The ripe fruit character builds as the wine warms in your mouth, seasoned with a cleverly balanced hint of oak. Seductive and long.Sold in cases of six bottles"
Verne Malbec Nieto Senetiner,1.0,8.99,2020.0,14.5,75.0,8,6,5,Nieto Senetiner,Silver Medal at the 2019 Decanter World Wine Awards and 92 points
Cadus Vista Flores Appellation Chardonnay,2.0,12.49,2018.0,14.0,75.0,8,6,4,Cadus,"Cave de Turckheim Grand Cru Brand Riesling - An elegantly complex and intensely satisfying drop! Classy Riesling from Alsace with plenty of ‘tension’, complexity and finesse. Grand Cru Brand is very much the Cave’s Grand Cru with grapes coming from its granitic slopes just behind the winery."
Walter Bressia Sylvestra Malbec,1.0,9.99,2019.0,14.5,75.0,8,6,5,Bressia,Petit Chablis Bernard Michaut - A second label from Domaine de la Motte but the same deliciously approachable Chardonnay fruit with the proper ‘tension’ and backbone you expect from good Chablis.
Bodega Bressia Monteagrelo Syrah,1.0,13.49,2018.0,14.5,75.0,8,10,9,Bressia,"Bricco Rosso Dogliani - The nose is a medley of ripe plum, blackberry and fig, with sweet spices and a hint of Christmas cake. The palate has plenty of fresh, juicy plum and red berry fruit, and hints of dark chocolate on the finish. A concentrated style of Dolcetto with an attractively rustic character.Sold in cases of six bottles"
Catena Alta Chardonnay,2.0,20.99,2018.0,14.0,75.0,8,6,2,Catena,Champagne Lelarge-Pugeot Les Meuniers de Clemence Extra Brut 1er Cru - This stunningly poised wine has a crisp palate which is beautifully balanced by intense fruitiness. it is full of green apple and lime juice. A mineral texture and a creamy mousse character lingers on the endless finish.Sold in single bottles
Cadus Signature Series Pinot Noir,1.0,15.49,2019.0,13.5,75.0,8,6,9,Cadus,"Puligny-Montrachet Bernard Millot - Bright and beautiful, this Puligny-Montrachet from the small family domaine of Bernard Millot offers intense aromas of lime leaf and grilled nuts. The palate is concentrated yet lithely structured, with great precision and focus.Sold in single bottles"
Catena Chardonnay,2.0,12.99,2019.0,14.0,75.0,8,6,2,Catena,"Champagne Lelarge-Pugeot Extra Brut 1er Cru Tradition NV - Pale golden yellow with a persistent effervescence, this creamy wine offers a good depth of flavour. Ripe, rich fruits dominate, complemented by an abundance of fresh apple, apricots and a tangy hint of orange zest. Harmoniously balanced, the texture is tight with an inviting streak of minerality and a crisp finish.Sold in single bottles"
Matias Riccitelli Tinto de la Casa,1.0,21.79,2020.0,14.0,75.0,8,6,5,Matias Riccitelli,Barbaresco Roncaglie Poderi Colla - The Colla family's prized south-facing Roncaglie vineyard is one of Barbaresco's most celebrated crus.
Dona Paula Estate Riesling Uco Valley,2.0,11.79,2021.0,11.5,75.0,8,10,7,Dona Paula,"Henners Brut English Sparkling Wine - Biscuity brioche on the nose, with delicate white flower and full fruit. Citrus, apple and leesy characters add complexity to the palate.Sold in cases of six bottles"
